2024-04-26 08:57:40,702 - hivemind.utils.networking - INFO - Running a DHT instance. To connect other peers to this one, use [1m[34m--initial_peers /p2p/12D3KooWKuPCAh4fqp6APh5Tx64YZDioE4E5BdqDqmXLrxhYZfMV[0m
2024-04-26 08:57:40,703 - hivemind.utils.networking - INFO - Full list of visible multiaddresses: /ip4/149.36.0.162/tcp/46963/p2p/12D3KooWKuPCAh4fqp6APh5Tx64YZDioE4E5BdqDqmXLrxhYZfMV
2024-04-26 08:59:25,859 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 08:59:30,208 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 08:59:42,468 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 08:59:46,477 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 08:59:58,178 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:00:02,520 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:00:14,314 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:00:18,333 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:00:30,243 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:00:34,570 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:01:07,208 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:01:11,229 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:01:23,445 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:01:27,456 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:01:39,864 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:01:43,878 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:01:55,888 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
