2024-04-26 09:49:33,074 - hivemind.utils.networking - INFO - Running a DHT instance. To connect other peers to this one, use [1m[34m--initial_peers /p2p/12D3KooWHAozTjdEvo1bAMd52zjtckQiKwUK5vspaiWneed9tbCQ[0m
2024-04-26 09:49:33,075 - hivemind.utils.networking - INFO - Full list of visible multiaddresses: /ip4/149.36.0.162/tcp/46963/p2p/12D3KooWHAozTjdEvo1bAMd52zjtckQiKwUK5vspaiWneed9tbCQ
2024-04-26 09:51:32,005 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:51:36,021 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:51:48,187 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:51:52,206 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:52:04,401 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:52:08,408 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:52:20,088 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:52:24,104 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:52:35,912 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:52:39,928 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:53:31,360 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:53:35,366 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:53:46,969 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:53:50,978 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:54:02,911 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:54:07,249 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:54:18,843 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:54:23,176 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:54:35,412 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:54:39,424 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:55:34,740 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:55:39,072 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:55:51,473 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:55:55,820 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:56:08,042 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:56:12,055 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:56:23,912 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:56:27,927 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:56:40,038 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:56:44,504 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
